State,Year,Brand,Count,Percentage
Chhattisgarh,2019,OnePlus,146469,0.06356743911756459
Chhattisgarh,2019,Oppo,962789,0.4147133095782742
Chhattisgarh,2019,Others,778387,0.3377905745983969
Chhattisgarh,2019,Realme,550615,0.23687058553945664
Chhattisgarh,2019,Samsung,1622662,0.7014934935002813
Chhattisgarh,2019,Vivo,1748796,0.7522598204790607
Chhattisgarh,2019,Xiaomi,2208313,0.9537200439036163
Chhattisgarh,2020,Apple,212629,0.059345554073898084
Chhattisgarh,2020,Lenovo,127288,0.035619698976161414
Chhattisgarh,2020,Micromax,1152502,0.3216499954035213
Chhattisgarh,2020,Motorola,151045,0.04222415388297532
Chhattisgarh,2020,OnePlus,188753,0.05279378667198352
Chhattisgarh,2020,Oppo,1604779,0.4448061488017641
Chhattisgarh,2020,Others,1075165,0.29961689396363367
Chhattisgarh,2020,Realme,990846,0.27377512388482594
Chhattisgarh,2020,Samsung,2437656,0.6779086583250657
Chhattisgarh,2020,Vivo,3117470,0.8610575867857264
Chhattisgarh,2020,Xiaomi,3349999,0.9312023992304446
Chhattisgarh,2021,Apple,295383,0.05854383548698298
Chhattisgarh,2021,Huawei,69286,0.01484180710815506
Chhattisgarh,2021,Infinix,86441,0.016013302310885665
Chhattisgarh,2021,Micromax,1164777,0.2341887474035135
Chhattisgarh,2021,Motorola,125350,0.02592985104302424
Chhattisgarh,2021,OnePlus,277605,0.05474709754853132
Chhattisgarh,2021,Oppo,2319406,0.46057539534450387
Chhattisgarh,2021,Others,1335136,0.26634258442361347
Chhattisgarh,2021,Realme,1751570,0.3453803846438961
Chhattisgarh,2021,Samsung,3138872,0.6259645404623658
Chhattisgarh,2021,Tecno,44668,0.00802590108563842
Chhattisgarh,2021,Vivo,4958543,0.9830920376141398
Chhattisgarh,2021,Xiaomi,4556134,0.9063545155247498
Chhattisgarh,2022,Apple,96555,0.016318343149464735
Chhattisgarh,2022,Infinix,53501,0.009041972728905936
Chhattisgarh,2022,Micromax,255953,0.043257510063020525
Chhattisgarh,2022,OnePlus,99485,0.01681352978327895
Chhattisgarh,2022,Oppo,702141,0.11866581510339513
Chhattisgarh,2022,Others,344930,0.058295128191651086
Chhattisgarh,2022,Realme,629948,0.1064647882587024
Chhattisgarh,2022,Samsung,843988,0.14263876337870066
Chhattisgarh,2022,Tecno,57754,0.009760753873483364
Chhattisgarh,2022,Vivo,1531319,0.2588016044046936
Chhattisgarh,2022,Xiaomi,1301387,0.21994179106470366
Dadra and Nagar Haveli and Daman and Diu,2018,Apple,7940,0.09747164123835073
Dadra and Nagar Haveli and Daman and Diu,2018,Huawei,4675,0.049693542345997696
Dadra and Nagar Haveli and Daman and Diu,2018,Lenovo,9285,0.11435723049294744
Dadra and Nagar Haveli and Daman and Diu,2018,Micromax,847,0.015903713996019378
Dadra and Nagar Haveli and Daman and Diu,2018,Motorola,8651,0.10569486855440033
Dadra and Nagar Haveli and Daman and Diu,2018,OnePlus,5758,0.07123099211071897
Dadra and Nagar Haveli and Daman and Diu,2018,Oppo,35782,0.42793291459145427
Dadra and Nagar Haveli and Daman and Diu,2018,Others,38208,0.4621437979260585
Dadra and Nagar Haveli and Daman and Diu,2018,Realme,18588,0.22339546364756624
Dadra and Nagar Haveli and Daman and Diu,2018,Samsung,62133,0.7476108367666678
Dadra and Nagar Haveli and Daman and Diu,2018,Vivo,59973,0.7063934669161192
Dadra and Nagar Haveli and Daman and Diu,2018,Xiaomi,81494,0.9781715314136996
Dadra and Nagar Haveli and Daman and Diu,2019,Apple,13683,0.08147432149701893
Dadra and Nagar Haveli and Daman and Diu,2019,Huawei,11838,0.07041816547686489
Dadra and Nagar Haveli and Daman and Diu,2019,Lenovo,14263,0.08549345273790929
Dadra and Nagar Haveli and Daman and Diu,2019,Motorola,14118,0.08442569011946141
Dadra and Nagar Haveli and Daman and Diu,2019,OnePlus,9155,0.05470139569518928
Dadra and Nagar Haveli and Daman and Diu,2019,Oppo,77845,0.46096029692196877
Dadra and Nagar Haveli and Daman and Diu,2019,Others,67606,0.40356471419210094
Dadra and Nagar Haveli and Daman and Diu,2019,Realme,38789,0.22925324318646667
Dadra and Nagar Haveli and Daman and Diu,2019,Samsung,121605,0.7232697920969925
Dadra and Nagar Haveli and Daman and Diu,2019,Vivo,140067,0.8281652339515959
Dadra and Nagar Haveli and Daman and Diu,2019,Xiaomi,164670,0.9782736941244314
Dadra and Nagar Haveli and Daman and Diu,2020,Apple,18867,0.0736129084179599
Dadra and Nagar Haveli and Daman and Diu,2020,Huawei,16761,0.0654752445748063
Dadra and Nagar Haveli and Daman and Diu,2020,Lenovo,16911,0.06628791711889549
Dadra and Nagar Haveli and Daman and Diu,2020,Motorola,17521,0.06861826449912223
Dadra and Nagar Haveli and Daman and Diu,2020,OnePlus,11643,0.0455713445497067
Dadra and Nagar Haveli and Daman and Diu,2020,Oppo,126355,0.4910482832482407
Dadra and Nagar Haveli and Daman and Diu,2020,Others,90278,0.3525303808071323
Dadra and Nagar Haveli and Daman and Diu,2020,Realme,69422,0.2690133449808817
