State_Name,Year,District,Total_Count,Amount
Assam,2018,bongaigaon district,184202,275441731.0118997
Assam,2018,cachar district,451497,624352544.6074398
Assam,2018,charaideo district,106198,134938123.1446607
Assam,2018,chirang district,65927,117041677.90616193
Assam,2018,darrang district,187273,241440353.76229763
Assam,2018,dhemaji district,146436,233694176.6092346
Assam,2018,dhubri district,260150,357393255.70504344
Assam,2018,dibrugarh district,359187,601609500.6309001
Assam,2018,dima hasao district,44145,83465326.73073266
Assam,2018,goalpara district,224711,334523922.2677471
Assam,2018,golaghat district,192818,261126890.41907352
Assam,2018,hailakandi district,109195,141333303.26009718
Assam,2018,hojai district,136650,200614427.52940404
Assam,2018,jorhat district,276580,404331549.1666521
Assam,2018,kamrup district,397714,510224124.2167471
Assam,2018,kamrup metropolitan district,1677094,3062958194.4782486
Assam,2018,karbi anglong district,123796,203867394.61438322
Assam,2018,karimganj district,154401,217023433.92047977
Assam,2018,kokrajhar district,137341,253857648.9746366
Assam,2018,lakhimpur district,192588,228398049.63891217
Assam,2018,majuli district,35075,26430056.874919683
Assam,2018,marigaon district,484997,706110194.7347318
Assam,2018,nagaon district,749827,712729273.6450717
Assam,2018,nalbari district,148121,181334491.81801906
Assam,2018,sivasagar district,156223,214718736.20076573
Assam,2018,sonitpur district,416370,834922013.8498797
Assam,2018,south salmara mancachar district,66040,93937130.85480548
Assam,2018,tinsukia district,326051,557648345.500346
Assam,2018,udalguri district,134268,185628130.82573664
Assam,2018,west karbi anglong district,18228,17789652.779814318
Assam,2019,baksa district,345039,694011969.692542
Assam,2019,barpeta district,1049575,2002485897.7106547
Assam,2019,biswanath district,288046,470062488.65219057
Assam,2019,bongaigaon district,395850,714106644.5082463
Assam,2019,cachar district,900968,1579502246.5716105
Assam,2019,charaideo district,223997,389541913.12680024
Assam,2019,chirang district,160952,312118328.8693241
Assam,2019,darrang district,335222,651296715.7647325
Assam,2019,dhemaji district,330098,654347647.6213336
Assam,2019,dhubri district,480758,890152156.0745827
Assam,2019,dibrugarh district,835663,1560512118.6937747
Assam,2019,dima hasao district,141529,282731497.555593
Assam,2019,goalpara district,471010,909698306.7192512
Assam,2019,golaghat district,437723,741000362.1857982
Assam,2019,hailakandi district,228733,369204701.3634851
Assam,2019,hojai district,304947,566843532.614874
Assam,2019,jorhat district,607779,1028948787.5135691
Assam,2019,kamrup district,854236,1505554950.216309
Assam,2019,kamrup metropolitan district,8495125,20982202942.73527
Assam,2019,karbi anglong district,303580,666150311.5403559
Assam,2019,karimganj district,352020,647831925.7428324
Assam,2019,kokrajhar district,286233,621669109.3132366
Assam,2019,lakhimpur district,418535,684478253.815201
Assam,2019,majuli district,68943,84612827.61082652
Assam,2019,marigaon district,542387,967789145.7301922
Assam,2019,nagaon district,1043342,1843497372.0258973
Assam,2019,nalbari district,313556,492506917.12502253
Assam,2019,sivasagar district,361318,613525759.2180595
Assam,2019,sonitpur district,946185,2000899870.5424466
Assam,2019,south salmara mancachar district,142091,290840540.124182
Assam,2019,tinsukia district,716548,1400012953.8671894
Assam,2019,udalguri district,255166,500401879.16753995
Assam,2019,west karbi anglong district,53861,70956167.50262856
Assam,2020,baksa district,821671,1736711972.5214787
Assam,2020,barpeta district,2166099,5160309337.394023
Assam,2020,biswanath district,661950,1210994538.1097982
Assam,2020,bongaigaon district,899540,1847708424.8167388
Assam,2020,cachar district,1935256,3686074817.527078
Assam,2020,charaideo district,504027,954483798.400925
Assam,2020,chirang district,406387,770156884.0556772
Assam,2020,darrang district,749208,1755244500.5450153
Assam,2020,dhemaji district,795358,1568291575.0941813
Assam,2020,dhubri district,1053930,2303656106.9401274
Assam,2020,dibrugarh district,1924004,3849472915.0859203
Assam,2020,dima hasao district,351672,699263302.7147068
Assam,2020,goalpara district,1099779,2533710535.065587
Assam,2020,golaghat district,1086086,1855464593.4547627
Assam,2020,hailakandi district,590060,1106211957.1918416
Assam,2020,hojai district,689733,1404219860.6200938
Assam,2020,jorhat district,1254695,2136227300.987689
Assam,2020,kamrup district,1787494,3451603079.1669116
Assam,2020,kamrup metropolitan district,15451629,46722774601.87193
Assam,2020,karbi anglong district,713525,1435799659.9405653
Assam,2020,karimganj district,927933,1908230095.7338333
Assam,2020,kokrajhar district,666374,1434156086.5657947
Assam,2020,lakhimpur district,1005981,1679047708.3479276
Assam,2020,majuli district,148165,212365901.38993776
Assam,2020,marigaon district,927031,2043925561.0558238
Assam,2020,nagaon district,2085708,4444770707.183105
Assam,2020,nalbari district,708139,1228955836.6135175
Assam,2020,sivasagar district,838466,1478531258.9952016
Assam,2020,sonitpur district,2111277,4380421663.489411
Assam,2020,south salmara mancachar district,323142,869902093.3858572
Assam,2020,tinsukia district,1693536,3208928734.9948893
Assam,2020,udalguri district,605526,1187621244.007434
Assam,2020,west karbi anglong district,151843,227494399.1891092
Assam,2021,baksa district,1587947,4244337077.92173
Assam,2021,barpeta district,5445031,14170557793.15097
Assam,2021,biswanath district,1109593,2450138576.2271605
Assam,2021,bongaigaon district,2075762,5213910027.270422
Assam,2021,cachar district,3780537,8831287130.572912
Assam,2021,charaideo district,764338,1924158483.1197278
Assam,2021,chirang district,819186,2018165169.4172335
Assam,2021,darrang district,1904238,5003502961.760095
Assam,2021,dhemaji district,1340974,3269219032.184743
Assam,2021,dhubri district,2507591,6487988543.295825
Assam,2021,dibrugarh district,4156922,9451666525.112392
Assam,2021,dima hasao district,570653,1389619108.9382577
Assam,2021,goalpara district,2516028,7016894020.492536
Assam,2021,golaghat district,1737456,3880026220.532944
Assam,2021,hailakandi district,1302763,3070639487.8260527
Assam,2021,hojai district,1402175,3430179150.4801493
Assam,2021,jorhat district,2128727,4339547818.041197
Assam,2021,kamrup district,3579681,8156693847.131556
Assam,2021,kamrup metropolitan district,61259034,135253624015.05731
Assam,2021,karbi anglong district,1281015,3258808386.658211
Assam,2021,karimganj district,1924427,5329555721.643909
Assam,2021,kokrajhar district,1416084,3746570664.2925625
Assam,2021,lakhimpur district,1633722,3615097093.009238
Assam,2021,majuli district,195842,390786130.5038798
Assam,2021,marigaon district,2150979,5974691834.519207
Assam,2021,nagaon district,4359100,11551647517.461542
Assam,2021,nalbari district,1218593,2858599309.8986244
Assam,2021,sivasagar district,1349037,2963539300.7109356
Assam,2021,sonitpur district,3985196,9123997905.233976
Assam,2021,south salmara mancachar district,907687,2781783755.759569
Assam,2021,tinsukia district,2737127,6198746512.473612
Assam,2021,udalguri district,1100443,2562358760.772904
Assam,2021,west karbi anglong district,221879,446067207.83763874
Assam,2022,baksa district,3791185,8765381039.286537
Assam,2022,barpeta district,17103772,37186726030.83544
Assam,2022,biswanath district,2513240,4924131164.608096
Assam,2022,bongaigaon district,6366028,14047698133.211767
Assam,2022,cachar district,9913555,19954858877.606537
Assam,2022,charaideo district,1967650,4044209707.857972
