State_Name,Year,District,Total_Count
Arunachal Pradesh,2020,lower subansiri district,23587
Arunachal Pradesh,2020,namsai district,31445
Arunachal Pradesh,2020,pakke kessang district,1910
Arunachal Pradesh,2020,papum pare district,258665
Arunachal Pradesh,2020,shi yomi district,1317
Arunachal Pradesh,2020,siang district,8081
Arunachal Pradesh,2020,tawang district,37894
Arunachal Pradesh,2020,tirap district,22424
Arunachal Pradesh,2020,upper siang district,11203
Arunachal Pradesh,2020,upper subansiri district,19504
Arunachal Pradesh,2020,west kameng district,66849
Arunachal Pradesh,2020,west siang district,31530
Arunachal Pradesh,2021,anjaw district,11967
Arunachal Pradesh,2021,changlang district,89603
Arunachal Pradesh,2021,dibang valley district,2186
Arunachal Pradesh,2021,east kameng district,18002
Arunachal Pradesh,2021,east siang district,86905
Arunachal Pradesh,2021,kamle district,3740
Arunachal Pradesh,2021,kra daadi district,5665
Arunachal Pradesh,2021,kurung kumey district,5827
Arunachal Pradesh,2021,lepa rada district,13594
Arunachal Pradesh,2021,lohit district,64251
Arunachal Pradesh,2021,longding district,18808
Arunachal Pradesh,2021,lower dibang valley district,38095
Arunachal Pradesh,2021,lower siang district,16245
Arunachal Pradesh,2021,lower subansiri district,36367
Arunachal Pradesh,2021,namsai district,46585
Arunachal Pradesh,2021,pakke kessang district,2954
Arunachal Pradesh,2021,papum pare district,378246
Arunachal Pradesh,2021,shi yomi district,1791
Arunachal Pradesh,2021,siang district,13065
Arunachal Pradesh,2021,tawang district,52729
Arunachal Pradesh,2021,tirap district,33327
Arunachal Pradesh,2021,upper siang district,17348
Arunachal Pradesh,2021,upper subansiri district,29487
Arunachal Pradesh,2021,west kameng district,94378
Arunachal Pradesh,2021,west siang district,48664
Arunachal Pradesh,2022,anjaw district,15400
Arunachal Pradesh,2022,changlang district,116560
Arunachal Pradesh,2022,dibang valley district,2849
Arunachal Pradesh,2022,east kameng district,23339
Arunachal Pradesh,2022,east siang district,111734
Arunachal Pradesh,2022,kamle district,4917
Arunachal Pradesh,2022,kra daadi district,7351
Arunachal Pradesh,2022,kurung kumey district,7542
Arunachal Pradesh,2022,lepa rada district,17554
Arunachal Pradesh,2022,lohit district,83283
Arunachal Pradesh,2022,longding district,24645
Arunachal Pradesh,2022,lower dibang valley district,49297
Arunachal Pradesh,2022,lower siang district,21112
Arunachal Pradesh,2022,lower subansiri district,47048
Arunachal Pradesh,2022,namsai district,60905
Arunachal Pradesh,2022,pakke kessang district,3825
Arunachal Pradesh,2022,papum pare district,483240
Arunachal Pradesh,2022,shi yomi district,2328
Arunachal Pradesh,2022,siang district,16971
Arunachal Pradesh,2022,tawang district,67348
Arunachal Pradesh,2022,tirap district,43209
Arunachal Pradesh,2022,upper siang district,22206
Arunachal Pradesh,2022,upper subansiri district,37868
Arunachal Pradesh,2022,west kameng district,120485
Arunachal Pradesh,2022,west siang district,62530
Arunachal Pradesh,2023,anjaw district,13517
Arunachal Pradesh,2023,changlang district,102775
Arunachal Pradesh,2023,dibang valley district,2481
Arunachal Pradesh,2023,east kameng district,20663
Arunachal Pradesh,2023,east siang district,98535
Arunachal Pradesh,2023,kamle district,4289
Arunachal Pradesh,2023,kra daadi district,6441
Arunachal Pradesh,2023,kurung kumey district,6542
Arunachal Pradesh,2023,lepa rada district,15507
Arunachal Pradesh,2023,lohit district,73598
Arunachal Pradesh,2023,longding district,21682
Arunachal Pradesh,2023,lower dibang valley district,43325
Arunachal Pradesh,2023,lower siang district,18662
Arunachal Pradesh,2023,lower subansiri district,41478
Arunachal Pradesh,2023,namsai district,53645
Arunachal Pradesh,2023,pakke kessang district,3327
Arunachal Pradesh,2023,papum pare district,425917
Arunachal Pradesh,2023,shi yomi district,1986
Arunachal Pradesh,2023,siang district,14766
Arunachal Pradesh,2023,tawang district,58992
Arunachal Pradesh,2023,tirap district,38136
Arunachal Pradesh,2023,upper siang district,19406
Arunachal Pradesh,2023,upper subansiri district,33365
Arunachal Pradesh,2023,west kameng district,105277
Arunachal Pradesh,2023,west siang district,55160
Assam,2018,baksa district,50327
Assam,2018,barpeta district,146593
Assam,2018,biswanath district,40186
Assam,2018,bongaigaon district,67424
Assam,2018,cachar district,143045
Assam,2018,charaideo district,33138
Assam,2018,chirang district,25393
Assam,2018,darrang district,59013
Assam,2018,dhemaji district,51081
Assam,2018,dhubri district,80959
Assam,2018,dibrugarh district,144959
Assam,2018,dima hasao district,16992
Assam,2018,goalpara district,72964
Assam,2018,golaghat district,75863
